-2;-0.1138;-0.0251
-1.5;-0.0534;-0.0258
-1;0.007;-0.0265
-0.5;0.0675;-0.0272
0;0.1279;-0.0279
0.5;0.1883;-0.0286
1;0.2487;-0.0293
1.5;0.3091;-0.03
2;0.3694;-0.0308
2.5;0.4297;-0.0315
3;0.49;-0.0322
3.5;0.5503;-0.0329
4;0.6105;-0.0336
4.5;0.6707;-0.0343
5;0.7308;-0.0351
5.5;0.7909;-0.0358
6;0.8509;-0.0365
6.5;0.9108;-0.0372
7;0.9707;-0.0379
7.5;1.0305;-0.0386
8;1.0902;-0.0393
